timestamp,center_u,center_v,sample_u,sample_v,raw_depth_m,filtered_depth_m,camera_x_m,camera_y_m,camera_z_m,mode
1778402163.843,325,335,305,315,0.414000,0.414000,-0.004967,0.062347,0.414000,fixed_roi
1778402164.367,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402164.901,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402165.434,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402165.935,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402166.468,325,335,305,315,0.413000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402167.002,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402167.503,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402168.036,325,335,305,315,0.412000,0.413000,-0.004955,0.062197,0.413000,fixed_roi
1778402168.536,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402169.036,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402169.537,325,335,305,315,0.413000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402170.038,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402170.538,325,335,305,315,0.413000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402171.072,325,335,305,315,0.413000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402171.605,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402172.106,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402172.606,325,335,305,315,0.413000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402173.106,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402173.607,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402174.141,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402174.641,325,335,305,315,0.412000,0.413000,-0.004955,0.062197,0.413000,fixed_roi
1778402175.141,325,335,305,315,0.411000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402175.675,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402176.209,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402176.709,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402177.243,325,335,305,315,0.413000,0.413000,-0.004955,0.062197,0.413000,fixed_roi
1778402177.743,325,335,305,315,0.412000,0.412000,-0.004943,0.062046,0.412000,fixed_roi
1778402178.244,325,335,305,315,0.412000,0.413000,-0.004955,0.062197,0.413000,fixed_roi
